,actors,date,movie,press_rating,producer,spectators_rating
2494,John Hurt ; ,20 février 2013,Des Abeilles et des Hommes,3.9,Markus Imhoof ; ,3.9
2495,Anton Yelchin ; Zooey Deschanel ; John Hawkes ; ,11 mai 2016,Destins croisés,,Zachary Sluser ; ,2.6
2496,Andy Lau ; Carina Lau ; Bingbing Li ; ,20 avril 2011,Detective Dee : Le mystère de la flamme fantôme,4.1,Tsui Hark ; ,3.1
2497,Mark Chao ; Feng Shaofeng ; Carina Lau ; ,6 août 2014,Détective Dee II : La Légende du Dragon des Mers,3.9,Tsui Hark ; ,3.4
2498,Spencer Tracy ; Sidney Poitier ; Katharine Hepburn ; ,5 février 2002,Devine qui vient dîner...,2.6,Stanley Kramer ; ,3.9
2499,Marcello Mastroianni ; Stefania Sandrelli ; Daniela Rocca ; ,22 mai 1962,Divorce à l'Italienne,4.0,Pietro Germi ; ,4.2
2500,Masako Nozawa ; Takeshi Kusao ; Mayumi Tanaka ; ,25 octobre 1995,Dragon Ball Z le film,,Mitsuo Hashimoto ; ,3.0
2501,Guillermo Arriaga ; Jacques Audiard ; John Boorman ; ,15 mai 2013,Dreamers,2.7,Noëlle Deschamps ; ,3.2
2502,Owen Wilson ; Troy Gentile ; Josh Peck ; ,7 mai 2008,Drillbit Taylor : garde du corps,2.0,Steven Brill ; ,2.3
2503,Benoît Poelvoorde ; Bernard Bloch ; Anne Consigny ; ,15 mars 2006,Du Jour au Lendemain,3.1,Philippe Le Guay ; ,1.9
2504,Nicola Nocella ; Ostap Stupka ; Joseph Luis Caballero ; ,/,Easy,,Andrea Magnani ; ,3.1
2505,Eddie Murphy ; Anjelica Huston ; Steve Zahn ; ,22 octobre 2003,Ecole paternelle,2.9,Steve Carr ; ,2.2
2506,John Wayne ; Robert Mitchum ; James Caan ; ,21 mars 2000,El Dorado,,Howard Hawks ; ,3.9
2507,Line Renaud ; Mélanie Bernier ; Didier Flamand ; ,3 octobre 2016,En cas de malheur (TV),,Jean-Daniel Verhaeghe ; ,2.8
2508,Ralph Fiennes ; Gerard Butler ; Jessica Chastain ; ,13 mars 2013,Ennemis jurés,,Ralph Fiennes ; ,2.4
2509,Edith Mérieau ; Vincent Dubois ; Jeanne Ferron ; ,28 février 2007,Entre adultes,3.2,Stéphane Brizé ; ,1.8
2510,Jean-Marc Barr ; Barbara Sukowa ; Ernst-Hugo Jaregard ; ,13 novembre 1991,Europa,,Lars von Trier ; ,4.0
2511,Brittany Allen ; Freddie Stroma ; Melanie Papalia ; ,/,Extraterrestrial,,Colin Minihan ; ,2.8
2512,Naomi Watts ; Sean Penn ; Bruce McGill ; ,3 novembre 2010,Fair Game,2.8,Doug Liman ; ,3.1
