,actor,date,movie,press_rating,producer,spectators_rating
243,Jude Law,14 octobre 2015,Black Sea,,Kevin Macdonald,"2,9"
244,Matthew McConaughey,5 novembre 2014,Interstellar,"3,8",Christopher Nolan,"4,5"
245,Kyan Khojandi,24 janvier 2018,Sugarland,"3,5",Damon Gameau,"4,1"
246,Keanu Reeves,29 octobre 2014,John Wick,"2,9",David Leitch,"3,6"
247,Ben Affleck,8 octobre 2014,Gone Girl,"4,0",David Fincher,"4,3"
248,Christian Clavier,16 avril 2014,Qu'est-ce qu'on a fait au Bon Dieu?,"3,8",Philippe de Chauveron,"3,8"
249,Domhnall Gleeson,3 juin 2015,Ex Machina,"3,3",Alex Garland,"3,9"
250,Chris Pratt,13 août 2014,Les Gardiens de la Galaxie,"3,8",James Gunn (II),"4,2"
251,Nicole Kidman,24 septembre 2014,Avant d'aller dormir,"2,3",Rowan Joffe,"3,3"
252,Viviane Pascal,8 octobre 2014,Mommy,"4,3",Xavier Dolan,"4,5"
253,Mark Ruffalo,8 juillet 2015,Daddy Cool,"3,5",Maya Forbes,"3,5"
254,Benedict Cumberbatch,28 janvier 2015,Imitation Game,"3,4",Morten Tyldum,"4,3"
255,Miles Teller,24 décembre 2014,Whiplash,"4,1",Damien Chazelle,"4,5"
256,Shailene Woodley,20 août 2014,Nos étoiles contraires,"2,8",Josh Boone,"4,3"
257,Annabelle Wallis,8 octobre 2014,Annabelle,"2,1",John R. Leonetti,"2,2"
258,Shailene Woodley,9 avril 2014,Divergente,"2,5",Neil Burger,"3,9"
259,Adam Sandler,12 septembre 2014,Famille recomposée,,Frank Coraci,"3,1"
260,Scarlett Johansson,6 août 2014,Lucy,"2,6",Luc Besson,"3,0"
261,Louane Emera,17 décembre 2014,La Famille Bélier,"3,7",Eric Lartigau,"4,0"
262,Pio Marmai,28 janvier 2015,Toute première fois,"3,1",Noémie Saglio,"3,4"
263,Reese Witherspoon,14 janvier 2015,Wild,"3,0",Jean-Marc Vallée,"3,8"
264,Ricardo Darín,14 janvier 2015,Les Nouveaux sauvages,"3,5",Damián Szifron,"4,1"
265,Kheiron,4 novembre 2015,Nous trois ou rien,"3,6",Kheiron,"4,4"
266,Benicio Del Toro,5 novembre 2014,Paradise Lost,"2,9",Andrea Di Stefano,"3,6"
267,Brad Pitt,22 octobre 2014,Fury,"3,3",David Ayer,"4,1"
268,Christian Bale,24 décembre 2014,Exodus: Gods And Kings,"3,2",Ridley Scott,"2,9"
269,Min-sik Choi,6 juillet 2016,Myeong-ryang,,Han-min Kim,"3,3"
270,Jean Dujardin,3 décembre 2014,La French,"3,7",Cédric Jimenez,"4,1"
271,Jonny Weston,25 février 2015,Projet Almanac,"2,0",Dean Israelite,"3,4"
